AL,AZ,AR,CA,CO,CT,DE,DC,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0.0218928852561863,0.00502816558377788,0.0103712239690509,0.0217274019643547,0.0190883384792441,0.0118212481229775,0.0120159526566319,0.00181629047438205,0.0225189972994233,0.00353545718921484,-0.00668061128660467,0.0138203666906095,0.00537489035883164,0.0345449155054846,0.0115248939169301,0.00273232211506847,0.0219226733392526,0.0018413123535319,0.0142827071924249,0.0116598761138161,-0.00528219866554978,0.022957764559887,0.0109847949437634,0.0193216537981066,0.0132737047433275,0.0540031361754454,0.0367465400206279,0.0104019746121297,0.0113688130087742,0.0426019560158861,0.0128560864358307,0.00207376902023582,0.00368063420158555,0.0022287948431806,0.0301392727173229,0.00676668140267813,0.0176714809354108,0.0141215408660477,-0.00568857253294632,0.0852571949101882,0.00810156787468556,0.0392726636178639,0.0244440479473163,0.0127378133420429,0.0216536525039076,0.0198302736404572,0.0652288080972047,0.0155855784078277,0.0222632984185664
0.0270650650418746,0.0226542529490397,0.0245315682281059,0.0267991862953335,0.0333268569902004,0.0146467767618309,-0.000483067222617623,0.0253654838231173,0.0266330911001615,0.0312748404423625,0.0238509637078579,0.0188616065656852,0.0106988704196896,0.0178076067768633,0.0280651845861704,0.0276363332816581,0.0322786176537184,0.0300380581082336,0.0113836627768516,0.0212419370682034,0.0257109671330828,0.021894543096777,0.0259252601513972,0.0245478942336443,0.0301671518452437,0.0344428984266295,0.0375031811766882,0.0292706333973128,0.0220825255077061,0.0342831252517117,0.0232504046287592,0.0426911981396641,0.0569816643159379,0.0143428230600203,0.0257115157310385,0.0388257374552924,0.0191870673082266,0.0316573894439105,0.0394683761561424,0.0258105130626377,0.0267245699014532,0.0306342876633302,0.0234016276639539,0.0270499072804966,0.0209360038582292,0.0369236647703151,0.0138716147321478,0.022967293647384,0.0296138546228956
0.0384365959702479,0.0341611820732145,0.0502638928922861,0.025957028839429,0.0322578749757625,0.0173384192696524,0.0323048355505812,0.0206391049958208,0.0193755106061221,0.0221246057195454,0.035488677621776,0.0247885643950689,0.0429590399605392,0.0389508004707658,0.0405096006629865,0.0243401470272528,0.0259846255081896,0.0334156408269199,0.0251315276039775,0.0190741082139699,0.0385932194692991,0.0356954263188273,0.030010707680327,0.0326969291908816,0.0450764567808389,0.0389351047098751,0.0281420033895283,0.0343081161262979,0.0240062386713317,0.0346880830696845,0.0160281303277136,0.030605768387832,0.0651187616760076,0.0245999419660609,0.0391477736200846,0.0404903290904504,0.0259320590139357,0.0220917766568834,0.0298409517492486,0.0371535235757389,0.0313602454158823,0.0331993212232146,0.0373476081440683,0.0293990658240767,0.025058501119968,0.0276575621220372,0.016367353705034,0.0333487928774107,0.0337574149235092
0.0310675710166334,0.0250277182349028,0.014602615789374,0.0268460202452589,0.021254432750269,0.020683115271332,0.0334622871645763,0.0174814161521986,0.0170841551423932,0.0388583017293134,0.0364815565464127,0.0221755819712728,0.0263603325533928,0.0232466124661247,0.0155783846538063,0.0340878194671016,0.0337736721472856,0.0361023422920627,0.0244957292442584,0.0222119680349016,0.0334571857394261,0.0248291562750731,0.0380293536710992,0.0237698169029809,0.0208028958328792,-0.00241009451155757,0.0320999436082072,0.0294412915650804,0.0256382909053486,0.0304831198155959,0.0131200442487845,0.0382098855744923,-0.0171977859274276,0.0273897681332282,0.0208269735161638,0.0241324631755517,0.0262623015282591,0.0229211087420041,0.0398980451807848,0.0130420847612239,0.0327681935355938,0.0341269035733728,0.0257568978374347,0.0357279036071076,0.0217236054226611,0.0279769873143367,0.0411130200291412,0.0262611983814252,0.0304277247159198
0.0382581582994502,0.0262554443450922,0.0376181104198343,0.0260440851193654,0.0252654460329404,0.0150749035608626,0.0133520898404902,0.00190384793981972,0.0279891061369259,0.0274572126277807,0.0363316386390301,0.0225909105775953,0.0251467271360318,-0.00175328011695608,0.0215934920445029,0.0353578510314304,0.0370324057597415,0.0359721918292457,0.0215654747415218,0.0136090364412344,0.0260208892434902,0.00489411510619348,0.0464051275981681,0.0231191022263722,0.00704932390575268,0.0125188431550679,0.0332450720800235,0.0328185328185327,0.0167914225823107,0.0231751297229028,0.0138311674370243,0.0190244909596799,-0.0364344319288001,0.0242326568413684,0.0304413631481302,0.0322266937088529,0.0204538129060568,0.0227773201768394,0.0258944455425974,-0.0178632270625457,0.0370435017869377,0.0344843848984551,0.0343137967634529,0.0214630195486506,0.0369466515323497,0.0249521343803049,0.0430091804442958,0.0183852394661084,0.0218721377541674
0.0154921575391107,0.0262231497291258,0.00905233634778221,0.025732088931812,0.0183530128079676,0.0189802942367391,0.0291522552410531,0.0116022184801249,0.0201815377980252,0.0212772524770302,0.0120947960300388,0.0146145626766553,0.0269488613344609,0.00795402689193356,0.0104416730097391,0.0129829592047275,0.0284103030246817,0.0291173794358509,0.0194579002649359,0.0167841617028598,0.0214455674929668,0.0116364752840037,0.0170010614787617,0.0119378724339737,0.0113908745731073,0.000759196631927741,0.0344329645297755,0.0274785624819347,0.0162360206767491,0.0234086853063652,0.00694224901943281,0.0171384649029711,-0.0106797517679318,0.0206390795431891,0.00938144085664861,0.0254623890514207,0.016596010259767,0.0141345079218986,0.0188824662813102,-0.0221032808008722,0.0159434803830811,0.0185205949360693,0.0320789462586277,0.0203993368413465,0.0143569475931085,0.022113653895603,0.00784058478946571,0.0183880839264882,0.011329413451886
0.0230385741260628,0.0269087771912167,0.0160179600709139,0.0294064103783102,0.0216096175610172,0.032046293690084,0.0127572016460906,0.0244960293219303,0.018919034136325,0.0236279438382984,0.0189787281642089,0.0234350463225121,0.0225615655739593,0.0204467326816068,0.0196695768626542,0.0328509278167451,0.0189536058299361,0.0390141467727674,0.0264892311572163,0.0258046373190453,0.0205596128104744,0.0319888312240129,0.0243224283074397,0.0260232715063939,0.00945889261744974,0.00365517241379314,0.0323233912034761,0.0430599576151984,0.026951393915853,0.0275525329148139,0.0257057939435457,0.0327539705375521,-0.0182105519085826,0.0222363600342656,0.027119956814608,0.0317207030777785,0.0274779917769418,0.0339037987812785,0.0340141200201714,-0.0491080478410704,0.0263915407905037,0.0329948440263534,0.0325120200493061,0.0370514269567675,0.0266972990318998,0.0254088050314465,0.0154995628328432,0.0274460193974892,0.0304523539421439
0.0295315383939296,0.028023923349269,0.031311652213561,0.0222511459835804,0.0273498735447191,0.0165242850840252,0.0298433337848209,0.0230457337069943,0.032106117368543,0.0225150007053366,0.0274438772709808,0.022250438357821,0.027081978108007,0.0263772886025146,0.0257496637641992,0.0291462927473062,0.0324533646079971,0.0210311972890423,0.0139439843721912,0.0148982522877466,0.0346376257644507,0.0297216422080405,0.031913205435518,0.0289787655873551,0.0243917641436911,0.0199467954569994,0.033882487382154,0.0177823327399897,0.0160146478582665,0.0285956724649979,0.0105975628241713,0.0148028632135837,0.0151061142616578,0.0266182788948153,0.0261353898886033,0.0275584092986196,0.0179129636421488,0.0118972976362154,0.00876636835816546,0.065048233224964,0.0244862053241759,0.02708903275371,0.031356357016595,0.00888934300602837,0.0234639065758683,0.0247611556889684,0.046131418284283,0.0277243657069729,0.0475109230398735
0.0119518511140833,0.0221167192019821,0.0357003179785408,0.022372300153659,0.01783770586859,0.0283527322943381,-0.00458132398071014,0.000757686143086087,0.0236130300686095,0.0159649899577133,0.0116281140374308,0.0251207772598377,0.0126835634616861,0.0361641384440624,0.00659899414585505,0.0266601154649305,0.0283898014471383,0.00607224181810053,0.0167130589980438,0.0209639596784411,0.0256827735786659,0.0464854752971164,0.0248073685573686,0.0227533484648192,0.00930940066930324,0.0287575912148832,0.035130056738634,0.0320637388262728,0.0244208673875154,0.0249546279491833,0.0213598015751388,0.0152235104582439,-0.0399599912175844,0.0144789582488584,0.00546137787056359,0.0206732194576845,0.022832913373802,0.027433971032453,0.01756771456543,0.0892986714039084,0.0200645184161084,0.01954347625308,0.0272693552306767,0.00712308419418012,0.0223746476513242,0.022719351056751,0.026102896476904,0.0298819563672496,0.0286718339464003
0.0331542982480808,0.0375019036499315,0.018215848362708,0.0294234301037257,0.0353100498218508,0.0224911370647186,0.0299486908458303,0.0301534608776682,0.0316950097850588,0.0340493529296592,0.0176905474388312,0.0267151182094992,0.0423175849465277,0.018637005272885,0.0213672861589643,0.0395738713861145,0.0289148892714382,0.0259323362771639,0.0238059254695211,0.0236942967453121,0.0353832055037638,0.0199024323678914,0.02447538640151,0.0248047506112024,0.0229684108994454,0.0113386533945794,0.0378886298517556,0.0318207493880624,0.0243342440229798,0.0304640025755564,0.020804556357468,0.0298686208607846,0.0134424313267094,0.0384910744005262,0.023166450726997,0.0270469551228341,0.0276993027058932,0.0202032385489853,0.0281563834399369,-0.0246692392502758,0.0301303214596003,0.0313870351917277,0.0310029259789579,0.0277209801226829,0.0303228159959397,0.0238119827598077,0.0389922890424195,0.0320101611805045,0.0499026212445325
