AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
0.0299785867237687,0.0299785867237687,0.0304347826086956,0.0304347826086956,0.0304347826086956,0.0219123505976095,0.0299785867237687,0.0299785867237687,0.0299785867237687,0.0299785867237687,0.0275423728813559,0.0304347826086956,0.0275423728813559,0.0275423728813559,0.0275423728813559,0.0299785867237687,0.0299785867237687,0.0219123505976095,0.0299785867237687,0.0219123505976095,0.0275423728813559,0.0275423728813559,0.0275423728813559,0.0299785867237687,0.0304347826086956,0.0299785867237687,0.0275423728813559,0.0275423728813559,0.0219123505976095,0.0219123505976095,0.0304347826086956,0.0304347826086956,0.0219123505976095,0.0275423728813559,0.0299785867237687,0.0304347826086956,0.0219123505976095,0.0219123505976095,0.0299785867237687,0.0275423728813559,0.0299785867237687,0.0299785867237687,0.0304347826086956,0.0299785867237687,0.0219123505976095,0.0304347826086956,0.0275423728813559,0.0299785867237687,0.0304347826086956
0.0415800415800416,0.0415800415800416,0.0316455696202532,0.0316455696202532,0.0316455696202532,0.0311890838206628,0.0415800415800416,0.0415800415800416,0.0415800415800416,0.0415800415800416,0.0268041237113402,0.0316455696202532,0.0268041237113402,0.0268041237113402,0.0268041237113402,0.0415800415800416,0.0415800415800416,0.0311890838206628,0.0415800415800416,0.0311890838206628,0.0268041237113402,0.0268041237113402,0.0268041237113402,0.0415800415800416,0.0316455696202532,0.0415800415800416,0.0268041237113402,0.0268041237113402,0.0311890838206628,0.0311890838206628,0.0316455696202532,0.0316455696202532,0.0311890838206628,0.0268041237113402,0.0415800415800416,0.0316455696202532,0.0311890838206628,0.0311890838206628,0.0415800415800416,0.0268041237113402,0.0415800415800416,0.0415800415800416,0.0316455696202532,0.0415800415800416,0.0311890838206628,0.0316455696202532,0.0268041237113402,0.0415800415800416,0.0316455696202532
0.0239520958083831,0.0239520958083831,0.0306748466257669,0.0306748466257669,0.0306748466257669,0.0226843100189036,0.0239520958083831,0.0239520958083831,0.0239520958083831,0.0239520958083831,0.0261044176706828,0.0306748466257669,0.0261044176706828,0.0261044176706828,0.0261044176706828,0.0239520958083831,0.0239520958083831,0.0226843100189036,0.0239520958083831,0.0226843100189036,0.0261044176706828,0.0261044176706828,0.0261044176706828,0.0239520958083831,0.0306748466257669,0.0239520958083831,0.0261044176706828,0.0261044176706828,0.0226843100189036,0.0226843100189036,0.0306748466257669,0.0306748466257669,0.0226843100189036,0.0261044176706828,0.0239520958083831,0.0306748466257669,0.0226843100189036,0.0226843100189036,0.0239520958083831,0.0261044176706828,0.0239520958083831,0.0239520958083831,0.0306748466257669,0.0239520958083831,0.0226843100189036,0.0306748466257669,0.0261044176706828,0.0239520958083831,0.0306748466257669
0.0175438596491229,0.0175438596491229,0.0218253968253969,0.0218253968253969,0.0218253968253969,0.011090573012939,0.0175438596491229,0.0175438596491229,0.0175438596491229,0.0175438596491229,0.0156555772994129,0.0218253968253969,0.0156555772994129,0.0156555772994129,0.0156555772994129,0.0175438596491229,0.0175438596491229,0.011090573012939,0.0175438596491229,0.011090573012939,0.0156555772994129,0.0156555772994129,0.0156555772994129,0.0175438596491229,0.0218253968253969,0.0175438596491229,0.0156555772994129,0.0156555772994129,0.011090573012939,0.011090573012939,0.0218253968253969,0.0218253968253969,0.011090573012939,0.0156555772994129,0.0175438596491229,0.0218253968253969,0.011090573012939,0.011090573012939,0.0175438596491229,0.0156555772994129,0.0175438596491229,0.0175438596491229,0.0218253968253969,0.0175438596491229,0.011090573012939,0.0218253968253969,0.0156555772994129,0.0175438596491229,0.0218253968253969
0.0191570881226054,0.0191570881226054,0.0194174757281553,0.0194174757281553,0.0194174757281553,0.0146252285191956,0.0191570881226054,0.0191570881226054,0.0191570881226054,0.0191570881226054,0.0192678227360308,0.0194174757281553,0.0192678227360308,0.0192678227360308,0.0192678227360308,0.0191570881226054,0.0191570881226054,0.0146252285191956,0.0191570881226054,0.0146252285191956,0.0192678227360308,0.0192678227360308,0.0192678227360308,0.0191570881226054,0.0194174757281553,0.0191570881226054,0.0192678227360308,0.0192678227360308,0.0146252285191956,0.0146252285191956,0.0194174757281553,0.0194174757281553,0.0146252285191956,0.0192678227360308,0.0191570881226054,0.0194174757281553,0.0146252285191956,0.0146252285191956,0.0191570881226054,0.0192678227360308,0.0191570881226054,0.0191570881226054,0.0194174757281553,0.0191570881226054,0.0146252285191956,0.0194174757281553,0.0192678227360308,0.0191570881226054,0.0194174757281553
0.018796992481203,0.018796992481203,0.0190476190476191,0.0190476190476191,0.0190476190476191,0.0198198198198198,0.018796992481203,0.018796992481203,0.018796992481203,0.018796992481203,0.0170132325141777,0.0190476190476191,0.0170132325141777,0.0170132325141777,0.0170132325141777,0.018796992481203,0.018796992481203,0.0198198198198198,0.018796992481203,0.0198198198198198,0.0170132325141777,0.0170132325141777,0.0170132325141777,0.018796992481203,0.0190476190476191,0.018796992481203,0.0170132325141777,0.0170132325141777,0.0198198198198198,0.0198198198198198,0.0190476190476191,0.0190476190476191,0.0198198198198198,0.0170132325141777,0.018796992481203,0.0190476190476191,0.0198198198198198,0.0198198198198198,0.018796992481203,0.0170132325141777,0.018796992481203,0.018796992481203,0.0190476190476191,0.018796992481203,0.0198198198198198,0.0190476190476191,0.0170132325141777,0.018796992481203,0.0190476190476191
0.014760147601476,0.014760147601476,0.016822429906542,0.016822429906542,0.016822429906542,0.0176678445229682,0.014760147601476,0.014760147601476,0.014760147601476,0.014760147601476,0.0148698884758365,0.016822429906542,0.0148698884758365,0.0148698884758365,0.0148698884758365,0.014760147601476,0.014760147601476,0.0176678445229682,0.014760147601476,0.0176678445229682,0.0148698884758365,0.0148698884758365,0.0148698884758365,0.014760147601476,0.016822429906542,0.014760147601476,0.0148698884758365,0.0148698884758365,0.0176678445229682,0.0176678445229682,0.016822429906542,0.016822429906542,0.0176678445229682,0.0148698884758365,0.014760147601476,0.016822429906542,0.0176678445229682,0.0176678445229682,0.014760147601476,0.0148698884758365,0.014760147601476,0.014760147601476,0.016822429906542,0.014760147601476,0.0176678445229682,0.016822429906542,0.0148698884758365,0.014760147601476,0.016822429906542
0.0054545454545454,0.0054545454545454,0.00551470588235302,0.00551470588235302,0.00551470588235302,0.00868055555555556,0.0054545454545454,0.0054545454545454,0.0054545454545454,0.0054545454545454,0.0073260073260073,0.00551470588235302,0.0073260073260073,0.0073260073260073,0.0073260073260073,0.0054545454545454,0.0054545454545454,0.00868055555555556,0.0054545454545454,0.00868055555555556,0.0073260073260073,0.0073260073260073,0.0073260073260073,0.0054545454545454,0.00551470588235302,0.0054545454545454,0.0073260073260073,0.0073260073260073,0.00868055555555556,0.00868055555555556,0.00551470588235302,0.00551470588235302,0.00868055555555556,0.0073260073260073,0.0054545454545454,0.00551470588235302,0.00868055555555556,0.00868055555555556,0.0054545454545454,0.0073260073260073,0.0054545454545454,0.0054545454545454,0.00551470588235302,0.0054545454545454,0.00868055555555556,0.00551470588235302,0.0073260073260073,0.0054545454545454,0.00551470588235302
0.0162748643761303,0.0162748643761303,0.016453382084095,0.016453382084095,0.016453382084095,0.0137693631669535,0.0162748643761303,0.0162748643761303,0.0162748643761303,0.0162748643761303,0.0181818181818182,0.016453382084095,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0162748643761303,0.0162748643761303,0.0137693631669535,0.0162748643761303,0.0137693631669535,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0162748643761303,0.016453382084095,0.0162748643761303,0.0181818181818182,0.0181818181818182,0.0137693631669535,0.0137693631669535,0.016453382084095,0.016453382084095,0.0137693631669535,0.0181818181818182,0.0162748643761303,0.016453382084095,0.0137693631669535,0.0137693631669535,0.0162748643761303,0.0181818181818182,0.0162748643761303,0.0162748643761303,0.016453382084095,0.0162748643761303,0.0137693631669535,0.016453382084095,0.0181818181818182,0.0162748643761303,0.016453382084095
0.0142348754448398,0.0142348754448398,0.0179856115107914,0.0179856115107914,0.0179856115107914,0.0118845500848897,0.0142348754448398,0.0142348754448398,0.0142348754448398,0.0142348754448398,0.0142857142857142,0.0179856115107914,0.0142857142857142,0.0142857142857142,0.0142857142857142,0.0142348754448398,0.0142348754448398,0.0118845500848897,0.0142348754448398,0.0118845500848897,0.0142857142857142,0.0142857142857142,0.0142857142857142,0.0142348754448398,0.0179856115107914,0.0142348754448398,0.0142857142857142,0.0142857142857142,0.0118845500848897,0.0118845500848897,0.0179856115107914,0.0179856115107914,0.0118845500848897,0.0142857142857142,0.0142348754448398,0.0179856115107914,0.0118845500848897,0.0118845500848897,0.0142348754448398,0.0142857142857142,0.0142348754448398,0.0142348754448398,0.0179856115107914,0.0142348754448398,0.0118845500848897,0.0179856115107914,0.0142857142857142,0.0142348754448398,0.0179856115107914
